two events,freq
[Nausea  Vomiting],1673
[Pyrexia  Pneumonia],1620
[Dehydration  Pneumonia],1593
[Sepsis  Pneumonia],1524
[Anaemia  Pneumonia],1511
[Vomiting  Dehydration],1509
[Dyspnoea  Pneumonia],1437
[Vomiting  Pneumonia],1430
[Cellulitis  Pneumonia],1351
[Gastroenteritis  Pneumonia],1287
[Nausea  Dehydration],1282
[Urinary_tract_infection  Pneumonia],1280
[Atrial_fibrillation  Pneumonia],1271
[Diarrhoea  Pneumonia],1268
[Syncope  Pneumonia],1242
[Abdominal_pain  Pneumonia],1217
[Pulmonary_embolism  Pneumonia],1195
[Pyrexia  Vomiting],1187
[Myocardial_infarction  Pneumonia],1152
[Pyrexia  Dehydration],1144
[Anaemia  Pyrexia],1135
[Nausea  Pneumonia],1122
[Chest_pain  Pneumonia],1117
[Renal_failure_acute  Pneumonia],1098
[Bronchitis  Pneumonia],1091
[Diarrhoea  Pyrexia],1087
[Abdominal_pain  Vomiting],1080
[Diarrhoea  Vomiting],1079
[Death  Pneumonia],1074
[Dyspnoea  Anaemia],1072
[Sepsis  Pyrexia],1051
[Abdominal_pain  Dehydration],1034
[Sepsis  Dehydration],1030
[Dyspnoea  Vomiting],1007
[Anaemia  Dehydration],1000
[Dyspnoea  Dehydration],998
[Anaemia  Sepsis],987
[Cerebrovascular_accident  Pneumonia],986
[Sepsis  Vomiting],984
[Diarrhoea  Dehydration],983
[Hypotension  Pneumonia],978
[Abdominal_pain  Pyrexia],972
[Anaemia  Vomiting],960
[Pleural_effusion  Pneumonia],959
[Deep_vein_thrombosis  Pneumonia],955
[Respiratory_failure  Pneumonia],947
[Diarrhoea  Dyspnoea],940
[Diarrhoea  Anaemia],934
[Nausea  Pyrexia],930
[Hypotension  Dehydration],925
[Hypertension  Pneumonia],923
[Dyspnoea  Sepsis],918
[Chronic_obstructive_pulmonary_disease  Pneumonia],910
[Abdominal_pain  Nausea],897
[Urinary_tract_infection  Dehydration],891
[Fatigue  Dehydration],890
[Urinary_tract_infection  Pyrexia],886
[Fatigue  Vomiting],884
[Death  Dehydration],882
[Back_pain  Pneumonia],880
[Renal_failure  Pneumonia],872
[Cellulitis  Pyrexia],871
[Pulmonary_embolism  Pyrexia],866
[Cellulitis  Anaemia],865
[Cardiac_failure_congestive  Pneumonia],862
[Hypotension  Vomiting],861
[Urinary_tract_infection  Sepsis],849
[Fatigue  Nausea],848
[Asthenia  Pneumonia],847
[Convulsion  Pneumonia],846
[Urinary_tract_infection  Abdominal_pain],845
[Abdominal_pain  Anaemia],843
[Dyspnoea  Abdominal_pain],842
[Syncope  Vomiting],839
[Diarrhoea  Abdominal_pain],836
[Abdominal_pain  Sepsis],833
[Syncope  Anaemia],832
[Angina_pectoris  Pneumonia],830
[Cellulitis  Sepsis],829
[Deep_vein_thrombosis  Pulmonary_embolism],828
[Cellulitis  Dehydration],826
[Myocardial_infarction  Atrial_fibrillation],824
[Thrombocytopenia  Pneumonia],823
[Pulmonary_embolism  Vomiting],822
[Pulmonary_embolism  Dyspnoea],820
[Diarrhoea  Nausea],819
[Nausea  Sepsis],818
[Renal_failure_acute  Anaemia],817
[Acute_myocardial_infarction  Pneumonia],812
[Gastroenteritis  Pyrexia],811
[Dyspnoea  Syncope],809
[Gastroenteritis  Dehydration],808
[Pulmonary_embolism  Dehydration],807
[Dyspnoea  Cellulitis],803
[Urinary_tract_infection  Vomiting],802
[Atrial_fibrillation  Dehydration],792
[Atrial_fibrillation  Dyspnoea],785
[Atrial_fibrillation  Anaemia],783
[Atrial_fibrillation  Syncope],782
[Anaemia  Nausea],781
[Syncope  Sepsis],779
[Pulmonary_embolism  Sepsis],776
[Renal_failure_acute  Pyrexia],773
[Pulmonary_embolism  Atrial_fibrillation],772
[Neutropenia  Pneumonia],771
[Syncope  Pyrexia],770
[Hypotension  Nausea],767
[Thrombocytopenia  Pyrexia],766
[Syncope  Nausea],764
[Hypotension  Sepsis],759
[Cardiac_failure  Pneumonia],758
[Renal_failure_acute  Sepsis],756
[Urinary_tract_infection  Cellulitis],751
[Urinary_tract_infection  Atrial_fibrillation],750
[Chest_pain  Atrial_fibrillation],748
[Hypertension  Dehydration],747
[Renal_failure_acute  Dyspnoea],744
[Pleural_effusion  Vomiting],740
[Cholecystitis  Pneumonia],739
[Pulmonary_embolism  Diarrhoea],733
[Diarrhoea  Urinary_tract_infection],732
[Asthenia  Pyrexia],731
[Cerebrovascular_accident  Atrial_fibrillation],730
[Atrial_fibrillation  Pyrexia],728
[Neutropenia  Pyrexia],726
[Gastroenteritis  Sepsis],725
[Chest_pain  Myocardial_infarction],723
[Depression  Pneumonia],722
[Febrile_neutropenia  Vomiting],721
[Chest_pain  Syncope],719
[Pulmonary_embolism  Urinary_tract_infection],717
[Osteoarthritis  Pneumonia],715
[Chest_pain  Abdominal_pain],713
[Atrial_fibrillation  Cellulitis],710
[Cerebrovascular_accident  Myocardial_infarction],709
[Abdominal_pain  Syncope],708
[Renal_failure_acute  Urinary_tract_infection],707
[Myocardial_infarction  Dyspnoea],706
[Gastroenteritis  Cellulitis],705
[Pleural_effusion  Pyrexia],704
[Dizziness  Pneumonia],703
[Pleural_effusion  Dyspnoea],702
[Asthenia  Vomiting],701
[Febrile_neutropenia  Dehydration],699
[Myocardial_infarction  Urinary_tract_infection],697
[Atrial_fibrillation  Vomiting],696
[Renal_failure_acute  Atrial_fibrillation],695
[Deep_vein_thrombosis  Pyrexia],694
[Thrombocytopenia  Anaemia],693
[Chest_pain  Anaemia],692
[Chest_pain  Cellulitis],691
[Diarrhoea  Syncope],690
[Hypotension  Pyrexia],688
[Pleural_effusion  Abdominal_pain],687
[Cardiac_arrest  Pneumonia],682
[Anaemia  Death],681
[Renal_failure  Sepsis],680
[Renal_failure_acute  Diarrhoea],679
[Myocardial_infarction  Syncope],678
[Myocardial_infarction  Cellulitis],677
[Chest_pain  Urinary_tract_infection],676
[Septic_shock  Pneumonia],674
[Hypotension  Dyspnoea],673
[Asthenia  Anaemia],672
[Bronchitis  Anaemia],671
[Deep_vein_thrombosis  Vomiting],670
[Gastroenteritis  Vomiting],669
[Febrile_neutropenia  Pyrexia],668
[Pulmonary_embolism  Syncope],666
[Back_pain  Abdominal_pain],665
[Nausea  Death],664
[Appendicitis  Pneumonia],663
[Bronchitis  Dyspnoea],662
[Dyspnoea  Death],661
[Pulmonary_embolism  Cellulitis],660
[Angina_pectoris  Myocardial_infarction],659
[Deep_vein_thrombosis  Abdominal_pain],658
[Hypotension  Anaemia],657
[Asthenia  Diarrhoea],656
[Bronchitis  Gastroenteritis],653
[Renal_failure  Vomiting],652
[Renal_failure_acute  Cellulitis],651
[Syncope  Death],650
[Renal_failure  Anaemia],649
[Myocardial_infarction  Sepsis],646
[Myocardial_infarction  Abdominal_pain],645
[Chest_pain  Vomiting],644
[Bronchitis  Dehydration],643
[Back_pain  Pyrexia],640
[Hypotension  Atrial_fibrillation],639
[Thrombocytopenia  Dehydration],638
[Headache  Vomiting],637
[Renal_failure  Pyrexia],636
[Febrile_neutropenia  Nausea],631
[Hypotension  Abdominal_pain],630
[Cerebrovascular_accident  Dyspnoea],628
[Hypertension  Syncope],627
[Dizziness  Dehydration],625
[Bronchopneumonia  Pneumonia],624
[Pneumothorax  Pneumonia],623
[Pancreatitis  Pneumonia],622
[Deep_vein_thrombosis  Urinary_tract_infection],621
[Atrial_fibrillation  Death],620
[Renal_failure  Renal_failure_acute],619
[Gastrointestinal_haemorrhage  Anaemia],618
[Gastroenteritis  Abdominal_pain],617
[Asthenia  Nausea],616
[Respiratory_failure  Pyrexia],615
[Pleural_effusion  Atrial_fibrillation],614
[Cerebrovascular_accident  Syncope],613
[Asthenia  Sepsis],611
[Hypertension  Dyspnoea],610
[Bronchitis  Urinary_tract_infection],609
[Hypertension  Anaemia],608
[Respiratory_failure  Pulmonary_embolism],607
[Back_pain  Dyspnoea],606
[Thrombocytopenia  Sepsis],605
[Gastritis  Pneumonia],604
[Cerebrovascular_accident  Sepsis],603
[Hypertension  Sepsis],602
[Cerebrovascular_accident  Urinary_tract_infection],601
[Renal_failure  Abdominal_pain],600
[Neutropenia  Thrombocytopenia],598
[Back_pain  Atrial_fibrillation],597
[Respiratory_failure  Dehydration],596
[Acute_myocardial_infarction  Atrial_fibrillation],594
[Urinary_tract_infection  Death],593
[Back_pain  Urinary_tract_infection],592
[Asthma  Pneumonia],591
[Deep_vein_thrombosis  Syncope],590
[Gastrointestinal_haemorrhage  Dyspnoea],589
[Renal_failure_acute  Chest_pain],588
[Hypotension  Cellulitis],587
[Neutropenia  Anaemia],586
[Dizziness  Nausea],585
[Diarrhoea  Death],584
[Fatigue  Abdominal_pain],583
[Infection  Pneumonia],582
[Asthenia  Abdominal_pain],581
[Respiratory_failure  Renal_failure_acute],580
[Constipation  Abdominal_pain],579
[Hypoxia  Dehydration],578
[Hypertension  Pyrexia],577
[Hypoxia  Pneumonia],576
[Bronchitis  Vomiting],574
[Myocardial_infarction  Death],573
[Non-cardiac_chest_pain  Pneumonia],572
[Back_pain  Sepsis],571
[Myocardial_infarction  Gastroenteritis],570
[Hypertension  Atrial_fibrillation],569
[Gastrointestinal_haemorrhage  Sepsis],568
[Cardiac_failure_congestive  Dyspnoea],567
[Renal_failure  Diarrhoea],566
[Gastrointestinal_haemorrhage  Pyrexia],565
[Deep_vein_thrombosis  Cerebrovascular_accident],564
[Angina_pectoris  Cerebrovascular_accident],563
[Chronic_obstructive_pulmonary_disease  Myocardial_infarction],562
[Back_pain  Syncope],561
[Respiratory_failure  Myocardial_infarction],560
[Bronchitis  Atrial_fibrillation],558
[Hypertension  Myocardial_infarction],557
[Hypertension  Urinary_tract_infection],556
[Gastrointestinal_haemorrhage  Abdominal_pain],555
[Coronary_artery_disease  Atrial_fibrillation],554
[Renal_failure  Syncope],553
[Headache  Pyrexia],552
[Asthenia  Pulmonary_embolism],551
[Bronchitis  Abdominal_pain],550
[Cardiac_failure  Atrial_fibrillation],549
[Neutropenia  Nausea],548
[Diarrhoea  Myocardial_infarction],547
[Neutropenia  Febrile_neutropenia],546
[Back_pain  Chest_pain],545
[Hypertension  Hypotension],542
[Cardiac_failure_congestive  Syncope],541
[Constipation  Sepsis],540
[Fatigue  Sepsis],539
[Pleural_effusion  Syncope],538
[Hypoxia  Vomiting],537
[Cardiac_failure  Anaemia],536
[Gastrointestinal_haemorrhage  Pulmonary_embolism],535
[Cardiac_failure_congestive  Chest_pain],534
[Respiratory_failure  Cellulitis],533
[Back_pain  Myocardial_infarction],532
[Constipation  Anaemia],531
[Cardiac_failure  Dyspnoea],530
[Back_pain  Diarrhoea],529
[Femur_fracture  Pneumonia],528
[Cholelithiasis  Cellulitis],527
[Septic_shock  Sepsis],526
[Respiratory_failure  Diarrhoea],525
[Transient_ischaemic_attack  Atrial_fibrillation],524
[Convulsion  Anaemia],523
[Renal_failure_acute  Death],522
[Febrile_neutropenia  Anaemia],521
[Cardiac_failure_congestive  Sepsis],520
[Pleural_effusion  Myocardial_infarction],519
[Chronic_obstructive_pulmonary_disease  Chest_pain],518
[Dizziness  Dyspnoea],517
[Gastrointestinal_haemorrhage  Myocardial_infarction],516
[Bronchitis  Pulmonary_embolism],514
[Renal_failure  Cellulitis],513
[Renal_failure  Myocardial_infarction],512
[Coronary_artery_disease  Cerebrovascular_accident],511
[Pleural_effusion  Chest_pain],510
[Cerebrovascular_accident  Gastroenteritis],509
[Respiratory_failure  Renal_failure],508
[Cardiac_failure_congestive  Dehydration],507
[Convulsion  Dyspnoea],506
[Fall  Syncope],505
[Acute_myocardial_infarction  Cerebrovascular_accident],504
[Chronic_obstructive_pulmonary_disease  Anaemia],503
[Cerebrovascular_accident  Diarrhoea],502
[Coronary_artery_disease  Angina_pectoris],501
[Febrile_neutropenia  Diarrhoea],500
[Gastrointestinal_haemorrhage  Vomiting],499
[Gastrointestinal_haemorrhage  Cellulitis],498
[Oedema_peripheral  Pneumonia],497
[Respiratory_failure  Hypotension],496
[Chronic_obstructive_pulmonary_disease  Cerebrovascular_accident],495
[Hyponatraemia  Dehydration],494
[Back_pain  Deep_vein_thrombosis],493
[Acute_myocardial_infarction  Cellulitis],492
[Gastrointestinal_haemorrhage  Chest_pain],491
[Acute_myocardial_infarction  Renal_failure_acute],490
[Arthralgia  Dehydration],489
[Prostate_cancer  Pneumonia],488
[Fall  Anaemia],487
[Asthenia  Atrial_fibrillation],486
[Transient_ischaemic_attack  Syncope],485
[Lower_respiratory_tract_infection  Pneumonia],484
[Constipation  Hypotension],483
[Osteoarthritis  Atrial_fibrillation],482
[Hyponatraemia  Dyspnoea],481
[Cardiac_failure_congestive  Abdominal_pain],480
[Cardiac_failure_congestive  Chronic_obstructive_pulmonary_disease],479
[Cholelithiasis  Gastroenteritis],478
[Transient_ischaemic_attack  Cerebrovascular_accident],477
[Vertigo  Pneumonia],476
[Febrile_neutropenia  Fatigue],475
[Cardiac_failure  Renal_failure_acute],474
[Bradycardia  Pneumonia],473
[Deep_vein_thrombosis  Death],472
[Fall  Myocardial_infarction],471
[Fall  Pyrexia],470
[Lobar_pneumonia  Pneumonia],469
[Convulsion  Gastroenteritis],468
[Cardiac_arrest  Renal_failure_acute],467
[Febrile_neutropenia  Pulmonary_embolism],466
[Epistaxis  Pneumonia],465
[Constipation  Urinary_tract_infection],464
[Septic_shock  Dyspnoea],463
[Thrombocytopenia  Fatigue],462
[Dizziness  Sepsis],461
[Arthralgia  Pyrexia],460
[Asthenia  Thrombocytopenia],459
[Hypoglycaemia  Anaemia],458
[Depression  Cellulitis],457
[Deep_vein_thrombosis  Bronchitis],456
[Cardiac_arrest  Dehydration],455
[Cholecystitis_acute  Pneumonia],454
[Thrombocytopenia  Febrile_neutropenia],453
[Cholelithiasis  Dehydration],452
[Febrile_neutropenia  Hypotension],451
[Chronic_obstructive_pulmonary_disease  Abdominal_pain],450
[Abdominal_pain_upper  Pneumonia],449
[Cholelithiasis  Urinary_tract_infection],448
[Transient_ischaemic_attack  Pulmonary_embolism],447
[General_physical_health_deterioration  Pneumonia],446
[Cholecystitis  Urinary_tract_infection],445
[Renal_failure  Back_pain],444
[Cardiac_arrest  Abdominal_pain],443
[Asthenia  Pleural_effusion],442
[Pneumonitis  Pneumonia],441
[Acute_myocardial_infarction  Pyrexia],440
[Back_pain  Hypertension],439
[Dizziness  Hypertension],438
[Cardiac_failure  Abdominal_pain],437
[Constipation  Cellulitis],436
[Thrombocytopenia  Pleural_effusion],435
[Respiratory_failure  Bronchitis],434
[Headache  Cellulitis],433
[Fatigue  Atrial_fibrillation],432
[Osteoarthritis  Dyspnoea],431
[Arthralgia  Cellulitis],430
[Cholelithiasis  Cerebrovascular_accident],429
[Haemoptysis  Dyspnoea],428
[Gastrointestinal_haemorrhage  Death],427
[Dizziness  Chest_pain],426
[Pneumothorax  Dyspnoea],425
[Colitis  Dehydration],424
[Transient_ischaemic_attack  Cardiac_failure_congestive],423
[Multi-organ_failure  Pneumonia],422
[Arthralgia  Nausea],421
[Pleural_effusion  Bronchitis],420
[Asthenia  Myocardial_infarction],419
[Osteoarthritis  Cerebrovascular_accident],418
[Hyperkalaemia  Pneumonia],417
[Coronary_artery_disease  Renal_failure_acute],416
[Cholelithiasis  Diarrhoea],415
[Cardiac_arrest  Death],414
[Leukopenia  Neutropenia],413
[Intestinal_obstruction  Abdominal_pain],412
[Cardiac_failure  Respiratory_failure],411
[Hypokalaemia  Sepsis],410
[Acute_myocardial_infarction  Hypertension],409
[Oedema_peripheral  Anaemia],408
[Confusional_state  Diarrhoea],407
[Acute_myocardial_infarction  Respiratory_failure],406
[Gastritis  Gastroenteritis],405
[Intestinal_obstruction  Dehydration],404
[Gastritis  Dyspnoea],403
[Depression  Myocardial_infarction],402
[Diverticulitis  Syncope],401
[Dysphagia  Pneumonia],400
[Cardiac_failure  Bronchitis],399
[Hyponatraemia  Nausea],398
[Cholecystitis  Nausea],397
[Neutropenia  Cellulitis],396
[Bronchopneumonia  Bronchitis],395
[Infection  Abdominal_pain],394
[Non-cardiac_chest_pain  Dehydration],393
[Bronchopneumonia  Sepsis],392
[Depression  Hypertension],391
[Renal_failure  Fatigue],390
[Fall  Death],389
[Dizziness  Myocardial_infarction],388
[Upper_respiratory_tract_infection  Pyrexia],387
[General_physical_health_deterioration  Diarrhoea],386
[Intestinal_obstruction  Vomiting],385
[Hyponatraemia  Cellulitis],384
[Asthma  Cellulitis],383
[Constipation  Renal_failure],382
[Abdominal_pain_upper  Pyrexia],381
[Pneumothorax  Nausea],380
[Arrhythmia  Pneumonia],379
[Transient_ischaemic_attack  Gastroenteritis],378
[Pain_in_extremity  Abdominal_pain],377
[Haematuria  Diarrhoea],376
[Renal_failure  Angina_pectoris],375
[Fatigue  Renal_failure_acute],374
[Acute_myocardial_infarction  Pleural_effusion],373
[Appendicitis  Sepsis],372
[Arthralgia  Hypertension],371
[Haemoptysis  Anaemia],370
[Septic_shock  Death],369
[Diarrhea  Vomiting],368
[Hypokalaemia  Abdominal_pain],367
[Transient_ischaemic_attack  Gastrointestinal_haemorrhage],366
[Non-cardiac_chest_pain  Chest_pain],365
[Urosepsis  Cellulitis],364
[Bacteraemia  Pyrexia],363
[Abdominal_pain_upper  Vomiting],362
[Femur_fracture  Sepsis],361
[Angina_unstable  Acute_myocardial_infarction],360
[Pneumothorax  Pleural_effusion],359
[Pyelonephritis  Dehydration],358
[Humerus_fracture  Pneumonia],357
[Confusional_state  Asthenia],356
[Haematuria  Vomiting],355
[Appendicitis  Chest_pain],354
[Neutropenia  Pleural_effusion],353
[Pneumothorax  Atrial_fibrillation],352
[Myocardial_ischaemia  Myocardial_infarction],351
[Cardiac_arrest  Nausea],350
[Pain_in_extremity  Nausea],349
[Leukopenia  Thrombocytopenia],348
[Cholelithiasis  Chronic_obstructive_pulmonary_disease],347
[Haematuria  Renal_failure_acute],346
[Femur_fracture  Myocardial_infarction],345
[Transient_ischaemic_attack  Renal_failure],344
[Hyperglycaemia  Syncope],343
[General_physical_health_deterioration  Nausea],342
[Septic_shock  Bronchitis],341
[Small_intestinal_obstruction  Atrial_fibrillation],340
[Chronic_obstructive_pulmonary_disease  Hypotension],339
[Acute_myocardial_infarction  Nausea],338
[Small_intestinal_obstruction  Renal_failure_acute],337
[Cardiac_failure  Nausea],336
[Decreased_appetite  Vomiting],335
[Thrombocytopenia  Myocardial_infarction],334
[Hyponatraemia  Gastroenteritis],333
[Infection  Atrial_fibrillation],332
[Asthma  Pyrexia],331
[Hypoxia  Diarrhoea],330
[Lobar_pneumonia  Sepsis],329
[Constipation  Respiratory_failure],328
[Urosepsis  Diarrhoea],327
[Pericardial_effusion  Pneumonia],326
[Osteoarthritis  Appendicitis],325
[Femur_fracture  Chest_pain],324
[Non-cardiac_chest_pain  Deep_vein_thrombosis],323
[Ileus  Cellulitis],322
[Cholecystitis  Dizziness],321
[Cough  Dyspnoea],320
[Pyelonephritis  Vomiting],319
[Haematuria  Death],318
[Arthralgia  Cholelithiasis],317
[Staphylococcal_infection  Pneumonia],316
[Upper_respiratory_tract_infection  Vomiting],315
[Hypertensive_crisis  Atrial_fibrillation],314
[Leukopenia  Sepsis],313
[Pancreatitis  Pleural_effusion],312
[Infection  Pleural_effusion],311
[Appendicitis  Cerebrovascular_accident],310
[Intestinal_obstruction  Myocardial_infarction],309
[Dysphagia  Pyrexia],308
[Infection  Renal_failure_acute],307
[Bronchopneumonia  Atrial_fibrillation],306
[Hypoxia  Hypertension],305
[Atrial_flutter  Dyspnoea],304
[Femur_fracture  Back_pain],303
[Cholecystitis_acute  Anaemia],302
[Pneumothorax  Renal_failure],301
[Decreased_appetite  Diarrhoea],300
[Vertigo  Gastroenteritis],299
[Urinary_retention  Syncope],298
[Cardiac_failure  Cholelithiasis],297
[Bronchopneumonia  Renal_failure_acute],296
[Urosepsis  Renal_failure_acute],295
[Breast_cancer  Cholelithiasis],294
[Non-cardiac_chest_pain  Gastrointestinal_haemorrhage],293
[Hypoglycaemia  Respiratory_failure],292
[Septic_shock  Acute_myocardial_infarction],291
[Infection  Neutropenia],290
[Pain  Urinary_tract_infection],289
[Lobar_pneumonia  Chest_pain],288
[Ventricular_tachycardia  Atrial_fibrillation],287
[Hip_fracture  Diarrhoea],286
[Inguinal_hernia  Anaemia],285
[Pulmonary_oedema  Respiratory_failure],284
[Gastrointestinal_haemorrhage  Fatigue],283
[Diabetes_mellitus  Abdominal_pain],282
[Thrombosis  Sepsis],281
[Cholecystitis_acute  Cellulitis],280
[Pyelonephritis  Chest_pain],279
[Ileus  Asthenia],278
[Pyelonephritis  Death],277
[Hyponatraemia  Constipation],276
[Coronary_artery_disease  Depression],275
[Hip_fracture  Gastrointestinal_haemorrhage],274
[Gastritis  Pancreatitis],273
[Respiratory_tract_infection  Gastroenteritis],272
[Alanine_aminotransferase_increased  Pneumonia],271
[Colitis  Pulmonary_embolism],270
[Cardio-respiratory_arrest  Cellulitis],269
[Cough  Anaemia],268
[Breast_cancer  Chronic_obstructive_pulmonary_disease],267
[Hypokalaemia  Fatigue],266
[Diabetes_mellitus  Gastroenteritis],265
[Asthenia  Cholelithiasis],264
[Femur_fracture  Osteoarthritis],263
[Nephrolithiasis  Death],262
[Intervertebral_disc_protrusion  Anaemia],261
[Pain  Atrial_fibrillation],260
[Osteonecrosis  Pneumonia],259
[Respiratory_tract_infection  Chest_pain],258
[Breast_cancer  Bronchitis],257
[Confusional_state  Cardiac_failure],256
[Dysphagia  Asthenia],255
[Pain  Cellulitis],254
[Basal_cell_carcinoma  Urinary_tract_infection],253
[Colon_cancer  Death],252
[Convulsion  Febrile_neutropenia],251
[Renal_impairment  Anaemia],250
[Lobar_pneumonia  Pleural_effusion],249
[Coronary_artery_disease  Nausea],248
[Pulmonary_oedema  Gastroenteritis],247
[Cerebral_haemorrhage  Myocardial_infarction],246
[Supraventricular_tachycardia  Myocardial_infarction],245
[Lobar_pneumonia  Back_pain],244
[Respiratory_tract_infection  Cerebrovascular_accident],243
[Hypertensive_crisis  Pyrexia],242
[Cardio-respiratory_arrest  Angina_pectoris],241
[Haematoma  Urinary_tract_infection],240
[Oedema_peripheral  Chronic_obstructive_pulmonary_disease],239
[Rib_fracture  Urinary_tract_infection],238
[Musculoskeletal_pain  Anaemia],237
[Hypoglycaemia  Gastritis],236
[Ascites  Renal_failure_acute],235
[Femur_fracture  Constipation],234
[Peritonitis  Diarrhoea],233
[Erysipelas  Vomiting],232
[Pain  Renal_failure_acute],231
[Colon_cancer  Pleural_effusion],230
[Ascites  Syncope],229
[Rectal_haemorrhage  Hypertension],228
[Vertigo  Transient_ischaemic_attack],227
[Cerebral_infarction  Dehydration],226
[Erysipelas  Urinary_tract_infection],225
[Intestinal_obstruction  Transient_ischaemic_attack],224
[Lung_neoplasm_malignant  Respiratory_failure],223
[Acute_respiratory_failure  Cardiac_failure],222
[Ileus  Pneumothorax],221
[Ventricular_tachycardia  Anaemia],220
[Contusion  Cellulitis],219
[Atrial_flutter  Coronary_artery_disease],218
[Cerebral_haemorrhage  Nausea],217
[Epistaxis  Convulsion],216
[Pyelonephritis  Gastrointestinal_haemorrhage],215
[Upper_respiratory_tract_infection  Gastrointestinal_haemorrhage],214
[Inguinal_hernia  Prostate_cancer],213
[Upper_respiratory_tract_infection  Cardiac_failure],212
[Ascites  Atrial_fibrillation],211
[Head_injury  Bronchitis],210
[Lobar_pneumonia  Cholecystitis],209
[Rash  Syncope],208
[Haematuria  Confusional_state],207
[Hip_fracture  Prostate_cancer],206
[Colitis  Hypoxia],205
[PYREXIA  PNEUMONIA],204
[Oedema_peripheral  Hypoglycaemia],203
[Musculoskeletal_chest_pain  Deep_vein_thrombosis],202
[Hyperglycaemia  Infection],201
[Vertigo  Cardiac_arrest],200
[Cerebral_ischaemia  Pyrexia],199
[Acute_respiratory_failure  Pneumothorax],198
[Cardio-respiratory_arrest  Confusional_state],197
[Septic_shock  Diverticulitis],196
[Abdominal_pain_upper  Oedema_peripheral],195
[Mental_status_changes  Cardiac_arrest],194
[Pancreatitis_acute  Osteoarthritis],193
[Bone_pain  Sepsis],192
[Hypertensive_crisis  Osteoarthritis],191
[Pancytopenia  Death],190
[Pneumonia_aspiration  Back_pain],189
[Ileus  Transient_ischaemic_attack],188
[Skin_ulcer  Bronchitis],187
[Hyperglycaemia  Appendicitis],186
[Myalgia  Sepsis],185
[Sick_sinus_syndrome  Syncope],184
[Bone_pain  Constipation],183
[Leukopenia  Bronchitis],182
[Haematemesis  Gastrointestinal_haemorrhage],181
[Concussion  Gastroenteritis],180
[Hyperglycaemia  Hypoxia],179
[Road_traffic_accident  Cardiac_failure],178
[Bladder_cancer  Transient_ischaemic_attack],177
[Gastritis  Febrile_neutropenia],176
[Acute_respiratory_failure  Lobar_pneumonia],175
[Hyperkalaemia  Headache],174
[Ankle_fracture  Angina_unstable],173
[Urinary_retention  Pain_in_extremity],172
[Gangrene  Bronchitis],171
[Haematoma  Cholecystitis],170
[Delirium  Anaemia],169
[Malaise  Renal_failure],168